genes	logFC	logCPM	PValue	FDR
ALOX15B	8.69004897960129	1.3031872931473	5.98376926483755e-19	4.02077801074637e-16
ZBTB16	7.46091951389094	3.80999499090393	4.87113676448864e-49	3.10949015361133e-45
RP11-357D18.1	6.41488101268117	0.86149566523718	1.15471458751756e-12	2.89063551741896e-10
PRODH	5.86343414353944	1.54940618496915	1.81326191755737e-10	3.12836687857499e-08
STEAP4	5.45475058270133	4.24314192088273	2.93880936019409e-10	4.8719540529252e-08
FAM107A	4.77618875160193	3.03490357597492	3.6010297025386e-08	3.48290501608412e-06
LINC00906	-4.73740775294561	0.469795845914664	2.39586929064149e-06	0.000131845100144913
LRRTM2	-4.5866496080991	1.65480847323324	1.56665281728001e-13	4.2556290464285e-11
SPARCL1	4.55416282008915	5.52061941193432	2.4032200545995e-57	3.06819104370718e-53
ITGA10	4.49217459048259	3.40972372362408	4.73199283121361e-14	1.4734964018562e-11
